Nome,Totale
SEBASTIANO,33
ADOLFO,32
DANILA,32
ERICA,32
LAVINIA,31
LINA,31
PIERFRANCESCO,31
SARAH,31
ANASTASIA,30
CESARIA,30
DOLORES,30
GERARDO,30
ITALO,30
PALMA,30
SAMUEL,30
VERA,30
CARMELINA,29
DEBORAH,29
FAUSTO,29
GRAZIANO,29
ITALIA,29
LINDA,29
PIERGIORGIO,29
ATTILIO,28
CARMINA,28
DILETTA,28
EMILIANO,28
MARIAROSARIA,28
PALMIRA,28
AMALIA,27
ANDREINA,27
FATIMA,27
FERRUCCIO,27
IVANO,27
LARA,27
CLELIA,26
CLEMENTINA,26
DELIA,26
LORENA,26
NICCOLO',26
ALEX,25
ALFONSO,25
CELESTE,25
COSIMO DAMIANO,25
EGIDIO,25
MARIA LAURA,25
MARIA PAOLA,25
MELISSA,25
RUGGERO,25
SANTINA,25
AMEDEO,24
DAVID,24
GIAMPAOLO,24
GIUSI,24
LORENZA,24
MARIA DOMENICA,24
MARIA GIUSEPPA,24
MIRIANA,24
THOMAS,24
VILMA,24
ANGELA MARIA,23
CATIA,23
CIRO,23
ENZA,23
FLORIANA,23
LUIGINA,23
MARIA IMMACOLATA,23
MARIA MADDALENA,23
SALVATORA,23
SHARON,23
VANDA,23
ANNACHIARA,22
ANTONINO,22
FRANCESCA MARIA,22
FRANCESCO MARIA,22
MAMADOU,22
MARIA STELLA,22
OMAR,22
ROSA MARIA,22
ROSETTA,22
ROSINA,22
SERENELLA,22
SILVANO,22
TANIA,22
WILLIAM,22
AGATA,21
BENEDETTO,21
ERMINIA,21
EVELINA,21
GAETANA,21
GERMANA,21
LEDA,21
MARIA LETIZIA,21
MARTINO,21
MOHAMED,21
VITO ANTONIO,21
DENISE,20
EDUARDO,20
FRANCESCO PAOLO,20
FULVIA,20
GIANPIERO,20
GILBERTO,20
IBRAHIMA,20
IRMA,20
LORIS,20
NATALIA,20
OLIMPIA,20
OSCAR,20
PIER PAOLO,20
TATIANA,20
TEODORO,20
VALTER,20
ANGIOLINA,19
ANNA CHIARA,19
ANNA LISA,19
COSTANTINO,19
DARIA,19
ENEA,19
FELICE,19
GEMMA,19
GIAMMARCO,19
GIORDANO,19
GREGORIO,19
MICHELANGELO,19
MUHAMMAD,19
OTTAVIO,19
ROSALIA,19
TONIA,19
WANDA,19
