cognome,totale
TRASSINELLI,20
BOCCARDI,20
MAZZELLA,20
BERTOCCHINI,19
FORAPIANTI,19
MATTOLINI,19
MOLINARO,19
D'AMBRA,19
CAPOZZI,19
MANCUSO,19
GUERCIO,19
MORANDI,19
VECCHI,19
CANEPA,19
TREVISAN,19
GRASSINI,19
MOLLO,19
DELIALLISI,19
GIOIA,19
FALLANI,19
DENDI,19
RADDI,19
MONACO,19
DE VITA,19
FRISCIA,19
TRIPODI,19
GHINI,19
PAOLUCCI,19
SECK,19
CAPOCCHI,19
ALIOTTA,19
CATURELLI,19
SARTORI,19
MOLESTI,19
BRESCI,19
ANSALDO,19
CACCIO',19
PUPPO,19
NARDELLI,19
MENICHELLI,19
DEMURTAS,19
BURGALASSI,19
LO CICERO,19
GERARDI,19
DIVERSI,19
CASTIGLIONI,19
CINOTTI,19
BOGI,19
NOSIGLIA,19
MARENGO,19
CENNINI,19
BATONI,19
VITELLI,19
TOZZINI,19
GENTINI,19
BRAGAGNI,19
BANDECCHI,19
PONZOLINI,19
GIUDICE,19
SANTALENA,19
TOGNACCINI,19
DESIDERI,19
LUZZI,19
FRASSI,19
SPIGLIATI,19
VIANI,19
FRASCA,19
BESSO,19
PRATALI,19
PEZZATINI,19
BALDUCCI,19
DAVETI,19
CATALANO,19
BIRICOTTI,19
RICCOBONO,19
SPAGNUOLO,19
MARI,19
BARBATO,19
FERRANTE,19
MAURO,19
CAPPERI,19
BERGAMO,19
SALVADOR,19
FALCA,19
LUCIDO,19
CAMPANELLI,19
SAGONA,19
GALASSI,19
LO PORTO,18
VEZZOSI,18
CALISTRI,18
CRIMINISI,18
MAZZARA,18
VERONI,18
BECCHERE,18
BRUNA,18
DINATTI,18
FATTORINI,18
BASSANI,18
RUOCCO,18
UGGERI,18
CHISTONI,18
BENEDETTINI,18
BRESCHI,18
BARDOCCI,18
RUSTICI,18
SANTANIELLO,18
CAMPUS,18
BARGELLI,18
SCARAMELLI,18
CHECCHI,18
MENCARI,18
BARRACO,18
BUCCI,18
IANDA,18
FILIDEI,18
BARTELLONI,18
ISOLANI,18
BECCANI,18
ANNIBALE,18
PIANCASTELLI,18
MIBELLI,18
GRIMALDI,18
HOSSAIN,18
CALAMAI,18
SUGGI,18
PAUMGARDHEN,18
VARRIALE,18
FERRARINI,18
SEGHETTI,18
GIUDICI,18
AMARO,18
DEL RE,18
IANNONE,18
FARNETI,18
RAIA,18
DONATO,18
PALLA,18
MOLLICA,18
LENSI,18
GUCCIARDO,18
CIOFI,18
MELI,18
CECCHETTI,18
GIGLI,18
VERGILI,18
TARRINI,18
CHIOCCHI,18
TOSCHI,18
SANI,18
CECCHERELLI,18
MALVALDI,18
ROSSO,18
FACCIN,18
CAPPELLETTI,18
ZARGANI,18
CIARAMELLA,18
MAURIELLO,18
BLANCO,18
KOLA,18
BARBISAN,18
DEL PUNTA,18
ABBATE,18
SARNO,18
COLANGELO,18
CAROCCI,18
TAGLIOLI,18
PIACENTINI,18
MASTALLI,18
BOCELLI,18
TRUSENDI,18
CASERTA,18
FICARRA,18
VINCENZONI,18
GHELARDINI,18
ALESSANDRI,18
CAPPELLINI,18
SPORTIELLO,18
MECOCCI,18
PIANIGIANI,18
SAPORITO,18
RAGUSA,18
ZIGOLI,18
BERTONI,17
LOI,17
GRANIERI,17
FROSINI,17
TRUMPY,17
DAVINI,17
KADIU,17
PRISPOLI,17
PECCHIONI,17
LAURETTI,17
SAMBALDI,17
SIGNORI,17
GIGONI,17
PERSIANI,17
COROZZI,17
CASTIGLIONE,17
CAMMELLINI,17
SCAFFAI,17
POLLASTRINI,17
DEL NERO,17
DEL SECCO,17
FRATINI,17
FAZZI,17
LANUTO,17
CIABATTI,17
VIGNOLI,17
CHIARELLO,17
BUA,17
MACCIONI,17
GHIGNOLI,17
TEMPESTI,17
BLASI,17
CILLARI,17
CAVALLI,17
POSARELLI,17
GALLETTA,17
CASTALDI,17
VIGNALE,17
VIGNI,17
MIGLIOZZI,17
LOCARINI,17
SAVATTERI,17
BALLANTINI,17
CIABATTINI,17
CAVALIERI,17
MACALUSO,17
BARDUCCI,17
RIVECCI,17
ROCCO,17
DARI,17
TRUGLIO,17
CAMPETTI,17
DUTTI,17
REDI,17
PROFUMO,17
FASSI,17
MACONI,17
FRADDANNI,17
GUGLIELMI,17
LA PLACA,17
MUCCI,17
BACCELLI,17
MANISCALCO,17
MISTRETTA,17
CAPUANO,17
DI MALTA,17
GIUSTO,17
FAGNI,17
RELA,17
LAURIA,17
MERKU,17
AUDIBERTI,17
SCHIAFFINO,17
CAVERO,17
CERVELLI,17
BRIZZI O BREZZI,17
CANU,17
LI,17
MEI,17
CARACCIOLO,17
MALASOMA,17
ZANOBETTI,17
CASTRO,17
SELLITTO,17
MANGUSO,17
SPERA,17
CICERO,17
BECUCCI,17
DI BENEDETTO,17
IANNICIELLO,17
SARTORIO,17
APICELLA,17
PINUCCI,17
MISURI,17
GATTI,17
GARGANI,17
LUPETTI,17
CINALI,17
MANNONI,17
MAHFOUD,17
SPOSARO,17
BALSANO,17
TOGNOZZI,17
NORCI,17
MATTIOLI,17
MAURI,17
STAGNO,17
LIVORI,17
DI CESARE,17
D'URSO,17
CIGNONI,16
GALBO,16
LOTTINI,16
IMPALLAZZO,16
MOLINARI,16
BALZINI,16
TRONCONI,16
PELLICCI,16
CERBONE,16
CAFSHI,16
HEUSCH,16
CORTESE,16
DE GREGORI,16
MICHEL,16
SERRINI,16
MARZOCCHI,16
MONTICELLI,16
FRIZZI,16
AMABILE,16
SCHIAVO,16
GHIONZOLI,16
GIACALONE,16
PUCCIANI,16
MAGGIO,16
GAGLIO,16
CAGLIERESI,16
CUCHEL,16
ADORNI,16
SPINA,16
MEHMETI,16
MARCHESE,16
MUSETTI,16
CHELINI,16
RIZZI,16
UVA,16
CORCOS,16
RIGHI,16
SAETTINI,16
BENIGNI,16
NUZZI,16
GJOKA,16
DOJA,16
SANSONI,16
RIZZA,16
SPALLINO,16
SIMONCELLI,16
IBRALIU,16
LOIACONO,16
GINO,16
NAVARRA,16
TALLONE,16
MOSCONI,16
ALDEGHERI,16
SALTINI,16
GNESI,16
PONZUOLI,16
PADOVANI,16
FANTEI,16
PARZIALE,16
GUIGGI,16
ASPIDI,16
MARCEDDU,16
VOLPINI,16
SCOGNAMIGLIO,16
LIGAS,16
VULLO,16
FOIS,16
RENAI,16
PELLICONE,16
GUERRIERO,16
PACE,16
GABRIELLI,16
BADARI,16
DOLCI,16
BERNOCCHI,16
BALDOCCI,16
DI PIETRO,16
CIALANDRONI,16
TALAMO,16
KARAMANI,16
RONDANINA,16
LENZA,16
DISCALZI,16
SINANI,16
SALVATORE,16
RONDA,16
CASELLI,16
GROSSO,16
CAMPANELLA,16
CASSANO,16
AZZOLLINI,16
THACI,16
FARULLI,16
SANDRI,16
TURRINI,16
ARAGONA,16
NIZZI,16
PUDDU,16
BURIELLI,16
CANDOTTI,16
SIVIERO,15
MANCUSI,15
FALCO,15
BONCOMPAGNI,15
TOBIA,15
SASSI,15
PRECERUTTI,15
FIORETTI,15
CIANI,15
MANGANIELLO,15
PAGLIANTI,15
NUCCI,15
GRILLANDINI,15
CIARDELLI,15
SATRIANO,15
LUCIOLI,15
CORSO,15
CAPASSO,15
DRAGO,15
DEL TAGLIA,15
ZANI,15
MILELLA,15
SANACORE,15
PESCI,15
BANCHETTI,15
CARABELLESE,15
GUMINA,15
CARNIERI,15
CAPANTINI,15
PILINCI,15
BONGI,15
VALLEBONA,15
ROMEI,15
GIANNONE,15
CASAGRANDE,15
TILLI,15
GIORGIO,15
COSTANTINI,15
MARESCA,15
BARTOLETTI,15
FRANCESE,15
RIVIECCIO,15
MAGLIANI,15
D'AMORE,15
GUERRA,15
DEL PISTOIA,15
NICOLAI,15
DI PAOLA,15
PROVENZANO,15
BIANCONI,15
OPREA,15
GRATTA,15
ARZELA',15
RUSU,15
RIBEZZO,15
APOLLONI,15
BUCCIANTINI,15
BELLAVIA,15
ZINI,15
REBOA,15
BOCCALETTI,15
CALVARUSO,15
PACIFICO,15
ROCCA,15
MARTINEZ,15
SAMMARTINO,15
ALIBONI,15
ANTICO,15
FANUCCI,15
PIROZZI,15
ANGELLA,15
TORRE,15
SICURANI,15
MIELE,15
ROSATI,15
PAONE,15
BARILE,15
BASIRICO',15
MILAZZO,15
SARAIS,15
CHIAVACCINI,15
PEREZ,15
DELLA MAGGIORE,15
FIGOLI,15
TUCCOLI,15
GAMMANOSSI,15
LENTINI,15
LEONETTI,15
TRINCA,15
PALAZZO,15
GOZZOLI,15
CARPINA,15
PACINOTTI,15
PAGNINI,15
TONARELLI,15
FILONI,15
GALANTI,15
FUSI,15
EVOLA,15
DE RAFFAELE,15
MAZZETTI,15
POGGI,15
CAFFERATA,15
GAYE,15
PALLAVICINI,15
ZUMIRI,15
BACHI,15
CHERCHI,15
SALA,15
FIORDI,15
PUCCINELLI,15
LIU,15
CARDONE,15
ROFI,15
PALMAS,15
SANTIGLI,15
MORRA,15
GATTO,15
MASTROSIMONE,15
PERONDI,15
ARTZ,15
CHIFARI,15
OLMI,15
FORTI,15
NERICI,15
PICCINETTI,15
XIA,15
SAVANI,15
SCIACCA,15
GARGANO,15
RAFANELLI,15
DIFONZO,15
CASTELLINI,15
BARBANTI,15
GHELLI,15
GURI,15
FANGIO,15
GAMBARDELLA,15
GAETA,15
BURCHIANTI,15
PATTI,15
TREMOLANTI,15
BICHISECCHI,15
ZANETTI,15
VOICU,15
BONINI,15
BONANNINI,15
QUOCHI,15
LUGETTI,15
REALE,15
MOLDOVAN,15
ISETTO,15
PEZZATI,15
PULLERA',15
MILIANI,15
TAMALIO,15
PIRINA,15
NISTA,15
DE LORENZO,15
OTTAVIANI,15
VALORI,15
BAMBINI,15
SERREDI,15
CARPITI,14
FEOLA,14
ACAMPORA,14
CANTONI,14
SCARLATTI,14
PARRELLA,14
MELAI,14
DI LIETO,14
TREDICI,14
PERROTTA,14
TRAINNI,14
BICCHIERAI,14
NONNI,14
MELLINO,14
PALMA,14
PIERACCIONI,14
RAFFONI,14
NANNONI,14
IANNAZZO,14
NICASTRO,14
DI MARCO,14
MESSERINI,14
BARBENSI,14
CAPANNINI,14
TANZINI,14
ARIMONDI,14
DI GREGORIO,14
GALIBERTI,14
CUCE',14
PETRUCCIONE,14
BREGA,14
EBRAICO,14
ALBANI,14
MELA,14
PROIETTI,14
ELISEO,14
SCHIAVETTI,14
FORMICHINI,14
SATTA,14
CICCONE,14
GUIDERI,14
SILVA,14
NACCI,14
MEROLA,14
PAGANELLI,14
FABBRO,14
AVELLINO,14
CALDELLI,14
DONNARUMMA,14
SANCASCIANI,14
LA COMBA,14
FREMURA,14
ZOPPI,14
RAIMONDI,14
BACONCINI,14
GALIGANI,14
LARONZI,14
GIANETTI,14
ORZALESI,14
IEGRE,14
TONSA,14
SAMPAOLO,14
TINAGLI,14
DELL'ANNO,14
SANTACROCE,14
KRASNIQI,14
LAPI,14
GRAZIANO,14
DAVID,14
DEL FUNGO,14
CRISTEA,14
LA SALA,14
MANUELLI,14
MACRI',14
CHIAPPARA,14
SHAKJIRI,14
CARUCCIO,14
FALCONE,14
BOCCARA,14
DOLFI,14
AMORE,14
CAPRETTI,14
CINGOLANI,14
TANGHERONI,14
FUNICELLA,14
LANDINI,14
CATANI,14
BRANDINI,14
RATTI,14
FORLEO,14
SOLINAS,14
RISO,14
RIDOLFI,14
BOLOGNA,14
CAMERINI,14
RICCIO,14
FILIPPINI,14
DELLO IACONO,14
DEL SOLDATO,14
DEL GAMBA,14
CAVALLIN,14
TESSIERI,14
SORBO,14
PODESTA',14
FIGLIE',14
BIANCANI,14
MERLO,14
ROLLE,14
COSENTINO,14
DE RANIERI,14
IBBA,14
GIARDINA,14
GIRALDI,14
SARGENTI,14
BONCIANI,14
SESSA,14
BARABINO,14
IZZI,14
LECCI,14
ONIDA,14
PEPI,14
BORGHESI,14
DIENG,14
CELENTANO,14
BA,14
CURRIDI,14
GAMBA,14
CHIARI,14
SIGHENZI,14
CAVALLO,14
MOGGIA,14
DEI,14
ARINGHIERI,14
CASTELLACCI,14
ULIVI,14
GIUNTA,14
SEGHIERI,14
FORTUNA,14
LODDO,14
DI SORCO,14
GINEVRA,14
CAPODICASA,14
PETAGNA,14
SPIGA,14
CORRIERI,14
AMBROSINI,14
PARDI,14
SEYE,14
BALESTRINI,14
PORCIATTI,14
RAFFAELE,14
ALFAROLI,14
MANNUCCHI,14
RICCIUTI,14
STRADI,14
FRACASSI,14
AGATI,14
MOSTI,14
LO IACONO,14
COLOMBAI,14
GALLESCHI,14
DI BIANCO,14
SIMONE,14
DIBRAN,14
CIALDINI,14
GRAZZINI,14
PICCOLO,14
CANTERINI,14
ALLEGRINI,14
NOTO,14
VENTURA,14
POLONIA,13
ANZOVINO,13
SAVONA,13
IOVINO,13
SHEHU,13
CORONA,13
DE GIORGI,13
MELILLI,13
MASINO,13
IERVASI,13
ACCARDI,13
PEDINI,13
LUCHERINI,13
DI GIROLAMO,13
ANASTASIA,13
STIACCINI,13
VASSALLO,13
ROCCHICCIOLI,13
SCHIAVON,13
BUTORI,13
TELLUZZI,13
DI LUPO,13
FUNARO,13
RUBINO,13
OCCHIPINTI,13
CAFFO,13
CURZI,13
VIANELLO,13
SCARSELLI,13
MULE',13
CAPOBIANCO,13
FEI,13
GUERRAZZI,13
BONECHI,13
MOCANU,13
GHINASSI,13
GERBI,13
NOCERINO,13
LICCIARDI,13
LUCIGNANO,13
FERRANDINO,13
ZOCCO,13
DE MARIA,13
MUHAMMAD,13
LUPU,13
MARANO,13
PASSALACQUA,13
VRAPI,13
D'ECHABUR,13
COZZOLINI,13
PECCHIA,13
TARCHI,13
POLITO,13
BARBETTI,13
MISURACA,13
AMMENDOLA,13
CASTAGNA,13
SALVIA,13
CAPORALI,13
CAPANNA,13
TURCO,13
CREMISI,13
CACCAVALE,13
MUNAFO',13
FORTE,13
RUFFINI,13
BERTOCCI,13
CARRIERI,13
LUMINI,13
TAGLIAGAMBE,13
CAMPIONI,13
TADDEINI,13
TOTI,13
D'ONOFRIO,13
CALAMITA,13
VITA,13
MEGLIO,13
MARTORANO,13
FAZZINI,13
DAZZI,13
DI GIUSEPPE,13
PASQUI,13
GRANDINI,13
PANZA,13
MACHI',13
BORELLA,13
BUCALOSSI,13
GIACHI,13
DI LAZZARO,13
COPPI,13
MANSANI,13
LORETO,13
NICOLA,13
MARASCO,13
D'ACUNTO,13
MACI,13
BACCHERETTI,13
REGGIOLI,13
MOSTARDI,13
VICARI,13
SGARALLINO,13
MORGE',13
RECCHI,13
COLACIELLO,13
SOTTILE,13
MELINI,13
PIAZZOLI,13
GALLUZZI,13
SIMONELLI,13
MINUTOLI,13
TANDA,13
FIORENZA,13
RACITI,13
RESTIVO,13
FANCELLU,13
ZUCCA,13
DEL LUCCHESE,13
PIAGNERI,13
RANDAZZO,13
PIZZO,13
CAPRAI,13
CHINELLO,13
CARASCIALI,13
BOI,13
CHIAPPI,13
PICANZA,13
CARCEA,13
GANGEMI,13
POZZOBON,13
AHMED,13
MORCHID,13
HUANG,13
INGRASSELLINO,13
BIANCHETTI,13
NANNICINI,13
PISCOPO,13
NOTARI,13
SACCO,13
BANCHIERI,13
MACCHINI,13
COSTALLI,13
MONIGLIA,13
BONTA' PITTALUGA,13
VINCENZI,13
HAIDAR,13
GIAMMALVA,13
MATTEONI,13
BATTAGLINI,13
MIELI,13
VIGONI,13
SALVESTRINI,13
DANUSHI,13
COLTELLINI,13
DEL BUBBA,13
TOGNARELLI,13
MIGLIORE,13
BECONCINI,13
CECCARDI,13
CREMONI,13
BETTINETTI,13
ROLLO,13
PERRINO,13
PERUGINI,13
NALDI,13
MARANCA,13
TRAMBUSTI,13
SERNI,13
DI LEO,13
SOLFANELLI,13
QUARTARARO,13
CIARDINI,13
AMADEI,13
MOLTOMOLI,13
MONI,13
DURANTE,13
VECCHIO,13
FEDELE,13
DE PASQUALE,13
DALLI,13
CUCCHIARA,13
LUCHINI,13
MENAPACE,13
SOLIMANI,13
CARPIGIANI,13
FERRONI,13
MARCHIONNI,13
SALVATO,13
PICARELLI,13
CECIONI,13
GARAU,13
COSSU,13
BECHI,13
BRUCINI,13
MAGGIORELLI,13
GENOVESE,13
MERANI,13
CIARAVOLO,13
FIORAVANTI,13
NISTOR,13
NOCERA,13
PICARDI,13
GIGLIO,13
PASTACALDI,13
DI LORENZO,13
CORBI,13
BONAFE',13
BRACCIOTTI,13
ROVENTINI,12
GUADAGNOLI,12
FRANCIA,12
PASSARO,12
MELUZZI,12
CIGOLINI,12
MBAYE,12
BUGGIANI,12
VICHI,12
ARA,12
REMEDI,12
COSENZA,12
TARABUSI,12
TAVANTI,12
GIACHINI,12
SCHIASSELLONI,12
SAPIENZA,12
POMA,12
BRAUN,12
D'ISANTO,12
SPIGONI,12
TACCHI,12
BENSI,12
COLELLA,12
BAGAGLI,12
LA TERZA,12
MBATHIE,12
BIBOLINO,12
ANDROMEDI,12
REBUFFI,12
LORELLA,12
SCARCIOLLA,12
MATEI,12
FAVALORO,12
FLORIS,12
BACCICALUPO,12
RISECCHI,12
ZHENG,12
SALETTA,12
PELLINI,12
INGRASCI,12
PANICO,12
PRETE,12
VANZI,12
BACCIARDI,12
SAMB,12
BUFFOLINO,12
PRESTA,12
IACCARINO,12
GIMIGNANI,12
DUMITRU,12
CORDONI,12
LA BELLA,12
BASTREI,12
BARBARA,12
FINA,12
COTTINI,12
GIANGORI,12
SANTOMAURO,12
ADORNI PALLINI,12
BOVANI,12
BARNINI,12
ERMINI,12
BORSELLI,12
APREA,12
BARNI,12
STURIALE,12
MANNA,12
TEODORI,12
SEMERARO,12
LENZERINI,12
MERLINO,12
SCIAPI,12
MONETA,12
PENNELLA,12
DI GABBIA,12
UMPETTI,12
LUCA,12
NITA,12
LOLLI,12
CONCA,12
GIULIETTI,12
MAIO,12
GNAN,12
CALAMASSI,12
IERI,12
DIDDI,12
GIARDI,12
BELSITO,12
MEJIA,12
RICOVERI,12
MODICA,12
SALUSTI,12
MBENGUE,12
GRANUCCI,12
GARCIA,12
LA RUSSA,12
GHEORGHE,12
CONGIU,12
FATTICCIONI,12
TERMINE,12
ZACCARIA,12
VALERIANI,12
MIRAGLIA,12
TRAPANESI,12
COGONI,12
INGHILLERI,12
MASULLO,12
IORI,12
TROVATELLI,12
NATOLA,12
PICCIRILLI,12
BORELLI,12
LILA,12
TAMBURELLI,12
RAFFO,12
ZANOTTI,12
BARELLINI,12
DELLA CROCE,12
SICILIATI,12
DHIMGJINI,12
ARMADORI,12
TOTA,12
FOSSI,12
BERTANI,12
CUCCUINI,12
DI RENZO,12
ALINGHIERI,12
PICCHIANTI,12
RICCIOTTI,12
CASTALDO,12
NUTINI,12
DE STEFANO,12
PASTIFIERI,12
BORRI,12
MAESTRINI,12
CARMIGNATI,12
CATUOGNO,12
SALVEMINI,12
LUCCHESINI,12
FIGARA,12
IPPOLITO,12
CONTU,12
SIRACUSA,12
GIANNARDI,12
GIANNASI,12
SANDRONI,12
BUTTARI,12
RASTELLI,12
NAPODANO,12
MORLE',12
DEL MAZZA,12
CANNAVO',12
GUETTA,12
DI TIZIO,12
MASOTTI,12
TARANTOLA,12
PECORARO,12
TOSCANELLI,12
CAVAGNARO,12
SPAGNOLO,12
SODANO,12
D'ANNA,12
CRISTOFANI,12
PONSIGLIONE,12
CIOFFI,12
MURGIA,12
BEJTJA,12
AGENO,12
FATIGHENTI,12
SCUTUMELLA,12
PANDOLFI,12
AVINO,12
PALATRESI,12
TAVA,12
SCHMIT,12
IODICE,12
BULLI,12
MUNTEANU,12
BOCCIA,12
TARANTINO,12
PINO,12
MANGIANTINI,12
IANITTO,12
PISANU,12
AMEDEI,12
BETTINELLI,12
DEL TORTO,12
SACCARO,12
VISENTIN,12
CATTE,12
SPADA,12
MAZZEO,12
COSCETTI,12
BARONETTO,12
CARBONCINI,12
SERENA,12
TARLI,12
SANGIACOMO,12
STURLA,12
CICCARELLI,12
D'AMBROSIO,12
STIAVETTI,12
CINCI,12
CARDELLI,12
SALEMMO,12
JI,12
FINOCCHIO,12
PAGUIO,12
LAI,12
SALUTINI,12
MELE,12
BUONCRISTIANI,12
MARSIGLIA,12
MAIORANO,12
PITTALUGA,12
NICOSIA,12
CORSINOVI,12
MAGLIERI,12
MAGOZZI,12
LUCHI,12
CHIESI,12
CAMBIALI,12
LAZZERESCHI,11
ALONGI,11
PIRO,11
DI DONATO,11
PEROSSINI,11
SIMBULA,11
GERMANI,11
ACETO,11
SPADACCI,11
STAMPA,11
MELITA,11
GHISELLI,11
BATISTINI,11
CALABRESE,11
PAVONI,11
GARAFFA,11
DONOLO,11
CASALATI,11
CAIAZZO,11
PERRONE,11
FAILLI,11
DISTEFANO,11
MODESTI,11
RADU,11
FUNARI,11
ILARDI,11
GAMBICORTI,11
PILLONI,11
SEDDA,11
TROIANI,11
CORRENTE,11
CIANGHEROTTI,11
LAMPREDI,11
DELA CRUZ,11
MARGELLI,11
FOLENA,11
CAMPISI,11
SANDONNINI,11
MEACCI,11
NEGRI,11
REGOLINI,11
PONZIO,11
CANONICI,11
DETTORI,11
DI CRISTO,11
BECHINI,11
SCAVO,11
DI BARTOLO,11
MANNINO,11
BIZZARRI,11
COLOSIMO,11
ZARUGHIAN,11
AVANZATI,11
SPOSITO,11
RIBECHINI,11
SAVARESE,11
DEL FORNO,11
CAPACCIOLI,11
PANICHELLI,11
ISOLA,11
MARCHESI,11
DE CARO,11
GAIOTTO,11
TRIMBOLI,11
LEO,11
GAMBACCINI,11
CIPOLLINI,11
LENZINI,11
CREATINI,11
PORTA,11
BUSELLI,11
GRASSELLI,11
CASOLARO,11
CROCE,11
PARENTINI,11
LAMBERTINI,11
OTTONE,11
MARCHESCHI,11
DE PAOLIS,11
DI FIORE,11
RUBBIOLI,11
NOBERINI,11
RAGNI,11
WU,11
LO MONACO,11
CAPRILE,11
BATISTONI,11
ROMAGNANI,11
BOZZOLANI,11
DI PIAZZA,11
RASO,11
RONCUCCI,11
LENCIONI,11
RUBICHI,11
ZUCCONI,11
GUARRACINO,11
PEDONE,11
CARADONNA,11
VATTERONI,11
QUIRICI,11
BARBA,11
SVEZIA,11
DE VITO,11
FABBRIZZI,11
PELLINO,11
DEL TONGO,11
PIERACCI,11
ZANNONI,11
TICCIATI,11
CAPONE,11
CANGEMI,11
VUKICH,11
CIVITILLO,11
GIMELLI,11
BUTTEL,11
AMMANNATI,11
NAZZI,11
AMORE BIANCO,11
BECCAI,11
DI ALESSANDRO,11
STEFANUTTI,11
ZHAO,11
ANGIUS,11
RISI,11
CAU,11
BULICHELLI,11
MATARESE,11
CASINO,11
CIVITARESE,11
LANCELLA,11
BORRINI,11
SPATARO,11
STRANIERO,11
UNGHERETTI,11
GAROFOLI,11
BALDACCINI,11
BUTTERI,11
RANDIS,11
CAMPORA,11
PALMERI,11
CUSIMANO,11
CHIANI,11
RABUZZI,11
STOLFI,11
PISCHEDDA,11
ILIE,11
RAMA,11
BARGAGLIOTTI,11
DI CAMPLI,11
IORIO,11
FROSALI,11
MAGLIONE,11
SIANI,11
VIVARELLI,11
CELANTI,11
ATZENI,11
PIANEZZOLI,11
LUCCHETTI,11
PAVESI,11
PASCALE,11
CELLAI,11
SCATENI,11
GJINI,11
PALAZZI,11
GIFFONI,11
CARDINALI,11
LEANDRINI,11
DONI,11
MUNGAI,11
TERRANOVA,11
RUOTOLO,11
GARFAGNOLI,11
COLANTUONO,11
CANDELA,11
SILVERA,11
FALLAI,11
LO CONTE,11
MESCHINI,11
AGO,11
PAJA,11
DILAGHI,11
LAURO,11
ALBIERI,11
RESTANO,11
CORRIAS,11
ERRICO,11
FISSI,11
SERRAGGI SINDONE,11
BIBBIANI,11
CAMPOLMI,11
CIVILI,11
APOSTOLO,11
DOTTI,11
PATANIA,11
BIANCOTTI,11
GESI,11
AMADDIO,11
D'ONGHIA,11
TRIFILETTI,11
MONTUORI,11
SPANO,11
MONZANI,11
IMPARATO,11
BOVE,11
VERME,11
ROCCASECCA,11
LEVI,11
MISUL,11
FELLONI,11
IARDELLA,11
DICIOTTI,11
SPADAVECCHIA,11
TUMMINIA,11
CANALE,11
SOTTILI,11
CYSTRI,11
BONVICINI,11
HABAGERU,11
VICTORINO,11
SPERANZA,11
CATARZI,11
LEOTTA,11
FARINELLI,11
DE MATTEIS,11
BASHA,11
WADE,11
ROBERTI,11
BUSONERO,11
FAVINI,11
ZORBA,11
CIAMPINI,11
BELLEGGIA,11
RACCOLTI,11
TINGHI,11
VANNELLI,11
ANGULO,11
CHIARELLI,11
PUCINI,11
SERPAN,11
DI COSTANZO,11
CARDILLO,11
BELLETTINI,11
ERFON,11
SINIGAGLIA,11
IACOMELLI,11
D'IPPOLITO,11
MOSCA,11
PACCHINI,11
CARRARESI,11
GHERARDINI,11
BERTAGNI,11
PAZZAGLIA,11
FICOLI C.TO FIGOLI,11
ARTALDI,11
FRAU,11
LONGHI,11
LAVORENTI,11
GHIGNOLA,11
COSTANTINO,11
CAMEDDA,11
STELLATO,11
BUGLIESI,11
MASSINI,10
GEMINI,10
PERVAN,10
SIRIGATTI,10
PIRELLI,10
RICCETTI,10
AMOROSI,10
SAPUPPO,10
TORTORICI,10
MOTTOLA,10
DIA,10
MOGGI,10
VALDAMBRINI,10
BALDASSATICI,10
SICILIA,10
BARSALI,10
MAGONZI,10
SIMILI,10
APRILE,10
RASTRELLI,10
MENGA,10
GAZZO,10
MINELLI,10
SORBI,10
CALAFA',10
SINGH,10
TECCHIO,10
COLLECCHI,10
TISO,10
GAMBASSI,10
CALDERINI,10
DI MEGLIO,10
PREDA,10
DE PAOLA,10
ROTELLI,10
MONETTI,10
RODRIGUEZ,10
DENTE,10
DE CRESCENZO,10
ASTA,10
ROVETTO,10
GROPPI,10
SUNCINI,10
REGALA,10
ARRIGHETTI,10
SCOGNAMILLO,10
MARGHERI,10
QUAGLI,10
MOLINO,10
BARINI,10
REA,10
COEN,10
GUARGUAGLI,10
DI DIO,10
BONFIGLI,10
GIROLDINI,10
CIMINI,10
BUTELLI,10
FACCHINI,10
TURRI,10
CAROTTI,10
NETTI,10
TATTANELLI,10
LAMBERTI,10
MONDOLFI,10
NATALINI,10
DIAMANTI,10
SISI,10
ROTARU,10
MANZO,10
SPANO',10
CAROTENUTO,10
ESTANISLAO,10
PATRICELLI MALIZIA,10
CALDARANO,10
DIAZ,10
CHERICONI,10
MORANA,10
CANDIAN,10
LO CASCIO,10
CAPITANO,10
PRISCO,10
PERRINA,10
TARENGHI,10
PELOSO,10
BOTTARI,10
SCONTRINO,10
DI CECCO,10
RONDELLI,10
ANGARELLI,10
SABBATINI,10
NICCOLI,10
BONURA,10
MARZIALI,10
BARTOLAMI,10
BONGINI,10
ZONCU,10
PIOLI,10
DA PRATO,10
ACQUAVIVA,10
MILANESE,10
DEGAN,10
DI CARLO,10
BISCARDI,10
CHERICI,10
TALOZZI,10
DEROSAS,10
PISCOLICH,10
CIATTINI,10
PROTA,10
CHIRICO,10
BENELLI,10
RICCOMINI,10
TALL,10
CUOCO,10
GORACCI,10
AGONIGI,10
FASTAMI,10
CREA,10
RUDAS,10
CABRAS,10
CIUTI,10
GENTILINI,10
SULEJMANI,10
BERNARDINELLO,10
AIELLI,10
MORRONE,10
BONUCCI,10
TAURASI,10
BEJAN,10
IOZZO,10
LUPARINI,10
META,10
TOCCI,10
SALVO,10
BACCHIOCCHI,10
CIRIELLO,10
LANFRANCA,10
SASSANO,10
COGNETTA,10
SEFOSKI,10
PELLESCHI,10
ALBERTI,10
RECUPIDO,10
ZHU,10
ELISEI,10
RICCARDI,10
ALDERANI,10
RASPANTI,10
CATALANI,10
BRENNA,10
MECJA,10
