cognome,totale
CENTI,62
MARIANUCCI,62
DEL CORSO,62
BERNARDESCHI,62
POZZI,62
MASSEI,62
FONTANA,62
BASILE,62
TURCHI,61
PAGANI,61
CASALINI,61
DAL CANTO,61
BRUNETTI,61
RAMACCIOTTI,61
CIPRIANI,61
SANTI,61
PACI,61
LANGELLA,61
CASTAGNOLI,61
SANTUCCI,60
RAGLIANTI,60
MARTELLONI,60
LUPERINI,60
GASPARRI,60
MASCAGNI,60
RIBECAI,60
FENZI,60
MURA,60
RAMAGLI,59
CHIESA,59
MALVENTI,59
MENICHETTI,59
FANELLI,59
NOVI,59
GIORGETTI,59
POGGIANTI,59
PAGLIAI,59
CIULLI,59
PICCINI,59
LIPPI,59
NESTI,58
TESTA,58
ANGIOLINI,58
BALLONI,58
SANTERINI,58
MESSINA,58
CARUSO,58
POLITI,58
QUAGLIERINI,58
FASTAME,58
GORINI,58
DELFINO,58
AIELLO,58
GRAGNANI,57
ANGELI,57
BIANCHINI,57
BORGHINI,57
BARGAGNA,57
DE LUCA,57
PIZZI,57
FULCERI,57
MANTELLASSI,56
DEL VIVO,56
TACCINI,56
CIAPONI,56
ROMBOLI,56
MARCHINI,56
SUSINI,56
LILLA,56
LONGOBARDI,56
FALASCHI,56
COSIMI,56
CASELLA,56
TAMBERI,55
PETRONI,55
CITTI,55
ROMANACCI,55
GIUNTI,55
PIEROTTI,55
CORSINI,55
SCOLA,55
LARI,55
MINUTI,55
CANACCINI,55
SGHERRI,55
TONCELLI,54
CAPONI,54
RAFFAELLI,54
MAZZONCINI,54
PISANI,54
PAVOLETTI,54
SANNINO,54
BONDI,54
CIURLI,54
LENTI,54
MANNARI,53
BATTAGLIA,53
NATALI,53
DE MARTINO,53
CARLI,53
RAUGI,53
BUTI,53
BARTORELLI,53
HALILOVIC,53
BARGHIGIANI,53
ROSI,53
QUILICI,53
MATTEINI,53
CERRETINI,53
SALVATORI,53
GIUNTINI,52
D'ANGELO,52
MALACARNE,52
PELLEGRINO,52
CARRAI,52
COMPARINI,52
TOMEI,52
BERTELLI,52
LISCHI,52
SOLDAINI,52
FONTANELLI,52
VANNINI,52
DOMINICI,52
BIGAZZI,52
PEDANI,52
LELLI,51
ANGIOLI,51
GUERRI,51
ANDREANI,51
GALOPPINI,51
SORRENTINO,51
BERNARDI,51
LAVORATORI,51
BALDESCHI,51
CECERE,51
BIAGIOTTI,51
PANCIATICI,51
BETTARINI,51
AMADORI,51
GALATOLO,51
STASI,51
DI ROSA,51
CHIAVACCI,50
BRACALONI,50
GAGLIARDI,50
BERTOLI,50
GIUNTOLI,50
ROSINI,50
BANDINELLI,50
PETRI,50
MACERA,50
CHITI,50
RENUCCI,50
FERRUCCI,50
MONTI,50
DEL MORO,50
FALORNI,50
CONSANI,50
CASABONA,50
ZANNOTTI,49
RISTORI,49
BERNARDONI,49
GHELARDUCCI,49
FRANCO,49
VANNOZZI,49
GUANTINI,49
PULITI,49
CAPECCHI,49
PARLANTI,49
LEPRI,49
DI GRANDE,49
CARLOTTI,49
CATENI,49
BAGLINI,49
TELLINI,49
AMATO,48
FAUCCI,48
GASPERINI,48
GHERARDI,48
CAPEZZOLI,48
LEPORI,48
CAMPI,48
SOLDANI,48
PORRI,48
ZUCCHELLI,48
PIRONE,48
DENTONE,48
QUERCI,48
ARENA,47
SCALI,47
ANDOLFI,47
ROLLA,47
CHELLINI,47
LUBRANI,47
TESTI,47
DEL NISTA,47
CONFORTI,47
DADDI,47
MATARESI,47
CRISTIANI,47
GRECHI,47
CIONINI,47
MENCACCI,46
ROMITI,46
GIOVANNINI,46
MICHELUCCI,46
PERFETTI,46
GAI,46
BENCINI,46
IACOPINI,46
FRILLI,46
IZZO,46
ROSSETTI,46
CALO',46
FERRARA,46
GUARNOTTA,46
CARBONI,46
GENNAI,46
CIPOLLI,46
GUIDUGLI,46
GIANNELLI,46
MAGGINI,46
GRILLO,46
COLOMBO,46
DIARA,46
MARCACCINI,45
TROCAR,45
SALVADORINI,45
GAMBACCIANI,45
BIAGIONI,45
PANATTONI,45
NESI,45
ANDREI,45
CRESCI,45
BANCHINI,45
MIRABELLI,45
VIRGILI,45
PERCIAVALLE,45
VACCARO,45
VILLANO,45
VOLANDRI,45
MENTESSI,44
ANDREUCCI,44
BIMBI,44
SANTONI,44
PISTOIA,44
BALZANO,44
FALCHINI,44
BONARETTI,44
CHIARUGI,44
FRASCHETTI,44
FRANCALACCI,44
CHIAPPINI,44
BARGHI,43
COLI,43
GRASSO,43
FORTUNATO,43
TAMBURINI,43
CALURI,43
NASSI,43
NELLI,43
NANNETTI,43
TROVATO,43
DI FRAIA,43
SANNA,42
FABIANI,42
CININI,42
TURELLI,42
FRATI,42
BUCCHIONI,42
ANDREOTTI,42
RUM,42
MORGANTI,42
MAGNANI,42
SAMMURI,42
FIASCHI,42
TINTORI,41
PARISI,41
ANTONI,41
CACIAGLI,41
PAPI,41
SEMBOLONI,41
DE SANTIS,41
ALBANO,41
PISANO,41
BIGONI,41
PENSABENE,41
MARCONCINI,41
GIACONI,41
MASONI,41
BONICOLI,41
TINUCCI,41
BACHINI,41
CERRI,41
OLIVIERI,41
SCARPELLINI,41
PAMPALONI,41
CAPPANERA,40
PUCCIARELLI,40
POSSENTI,40
PUGLIESE,40
UGOLINI,40
NENCI,40
RIZZO,40
PASQUALI,40
CARLONI,40
PAPA,40
GENOVESI,40
GUARINO,40
MECACCI,40
POLINI,40
MAZZERANGHI,40
MANGANI,40
GENTILE,40
GUEYE,40
PROFETI,39
PASQUINELLI,39
FANTONI,39
FERRARO,39
ROMEO,39
AGRETTI,39
COSTAGLI,39
NANNI,39
CAVALIERE,39
PAGGINI,39
DI ROCCA,39
SERAFINI,39
STOPPA,39
FIORE,39
DE FUSCO,39
DEL GRATTA,39
PARENTI,39
VILLANI,39
SCARDINO,39
FUSCO,39
SAINATI,39
SOLARI,39
CALVANI,39
DERI,39
LUNGHI,38
GUARDUCCI,38
VIVIANI,38
CHETONI,38
FANFANI,38
MANZI,38
MATTEOLI,38
GUIDETTI,38
MARABOTTI,38
MORONI,38
NARDINI,38
BACCIGALUPO,38
GALLETTI,38
BRUSCHI,38
MINIATI,37
CATALDO,37
LEONI,37
MORGANTINI,37
ROSA,37
FANCELLI,37
GABBRIELLI,37
VALENTE,37
DI MAIO,37
PIERONI,37
BASTIANI,37
CAMPOCHIARI,37
ZOCCHI,37
SPADONI,37
CIARDI,37
CIOLLI,37
CIABATTARI,37
SIGHIERI,37
DAINI,37
MELIS,37
CARMIGNANI,37
CORDANO,37
SONETTI,37
REGOLI,37
SBRANA,37
BOCCI,36
MALFATTI,36
FIORI,36
SALVETTI,36
BOSI,36
CARLINI,36
GALEAZZI,36
TOGNOTTI,36
LA ROSA,36
INCROCCI,36
FALCINELLI,36
MARSILI,36
BINDI,36
DIANA,36
BENCREATI,36
PIAZZA,36
FRANZONI,36
TALBI,35
BARONE,35
PALAZZOLO,35
FRANGINI,35
GIANNOTTI,35
VIOLA,35
ARBULLA,35
TONINI,35
PISTOLESI,35
LA ROCCA,35
BULLERI,35
PANCACCINI,35
TARQUINI,35
DANESI,35
VACCAI,35
BENINI,35
SUARDI,35
PEPE,35
DELLO SBARBA,35
AGOSTINELLI,35
VENTURINI,35
SIMI,35
GIANI,35
SARRI,35
FACCENDA,35
GALVAGNO,35
VESTRI,35
LOCCI,34
GENCHI,34
PAGANO,34
LECCHINI,34
GAZZARRINI,34
BEDINI,34
ERCOLE,34
MANNOCCI,34
SITRI,34
STRAZZULLO,34
SANTORO,34
PERA,34
PRIAMI,34
FAGIOLINI,34
CIRINEI,34
GASSANI,34
BONELLI,34
PAPUCCI,34
CASCINELLI,34
LUPO,34
ADAMO,34
DI BATTE,34
VANNUCCHI,34
DISGRAZIATI,34
STRAMBI,34
DI QUIRICO,34
PUCCIONI,34
PASSETTI,34
CENCINI,34
FANTOLINI,34
DURANTI,34
DI PACO,34
PALMIERI,34
CARDINI,34
BONISTALLI,34
DOVERI,34
CHELUCCI,34
PUNTONI,34
DI MAURO,34
TUCCI,33
MOSCHINI,33
D'ALESSIO,33
MALLOGGI,33
MILANI,33
LIPARI,33
CATASTINI,33
TRAMONTI,33
PETTA,33
DEMIRI,33
