"CODICE CORSO DI STUDI";"CORSO DI STUDI";"CODICE TIPOLOGIA";TIPOLOGIA;URL;
2205M21;"SCIENZE E GESTIONE SOSTENIBILE DEI SISTEMI NATURALI";LM;"Laurea Magistrale";;
TFA060;"A445,A446: LINGUA STRANIERA (SPAGNOLO), LINGUA E CIVILTA' STRANIERA (SPAGNOLO)";TFA;"Tirocinio formativo attivo";;
TFA025;"A053 - METEOROLOGIA AERONAUTICA ED ESERCITAZIONI";TFA;"Tirocinio formativo attivo";;
TFA051;"A067 - TECNOLOGIA FOTOGRAFICA, CINEMATOGRAFICA E TELEVISIVA";TFA;"Tirocinio formativo attivo";;
PAS032;"C520 - TECNICA DEI SERVIZI E PRATICA OPERATIVA";PAS;"Percorso abilitante speciale";;
007701;"BIOTECNOLOGIE MEDICHE";LM;"Laurea Magistrale";http://biotecmed.campusnet.unito.it/do/home.pl;
008502;"STUDIO DELL'EVOLUZIONE E VALORIZZAZIONE DELLA NATURA";LM;"Laurea Magistrale";http://naturali.campusnet.unito.it;
090510;GEOGRAFIA;LM;"Laurea Magistrale";http://www.geografia.unito.it;
006111;"TEATRO SOCIALE E DI COMUNITA' .";M1;"Master di Primo Livello";;
008206;"FISICA DELLE INTERAZIONI FONDAMENTALI";LS;"Laurea specialistica";www.ph.unito.it/ccl/index.html;
011201;"SCIENZE DELLA MENTE";LS;"Laurea specialistica";www.psicologia.unito.it;
091203;"SCIENZE E TECNICHE DELLE ATTIVITA' FISICHE ADATTATE";LS;"Laurea specialistica";http://www.hal9000.cisi.unito.it/scienzemotorie;
008304;"SCIENZE NATURALI";LT;"Laurea triennale (DM509)";http://naturali.campusnet.unito.it;
006208;"CORSO DI LAUREA SPECIALISTICA IN STORIA E CRITICA DELLE CULTURE E DEI BENI MUSICALI";LS;"Laurea specialistica";www.sciform.unito.it;
012207;"LINGUE E CIVILTÀ DELL'ASIA E DELL'AFRICA PER LA COMUNICAZIONE INTERNAZIONALE";LS;"Laurea specialistica";www.lingue.unito.it;
008210;"FISICA AMBIENTALE E BIOMEDICA";LS;"Laurea specialistica";www.ph.unito.it;
006209;"METODOLOGIA E STORIA DEL MUSEO, DEL RESTAURO E DELLE TECNICHE ARTISTICHE";LS;"Laurea specialistica";www.sciform.unito.it;
008309;"SCIENZA E TECNOLOGIA PER I BENI CULTURALI";LT;"Laurea triennale (DM509)";http://www.stbeniculturali.unito.it;
008238;MATEMATICA;LS;"Laurea specialistica";;
009302;"SCIENZE STATISTICHE (GIÀ CDL 1LIV IN STATISTICA  A.A. 2000-01)";LT;"Laurea triennale (DM509)";http://hal9000.cisi.unito.it/wf/FACOLTA/Scienze-Po/Cdl-triennali/Scienze-statistiche/index.htm;
070316;"TECNICHE AUDIOPROTESICHE (ABILITANTE ALLA PROFESSIONE SANITARIA DI AUDIOPROTESISTA)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
011312;"SCIENZE E TECNICHE PSICOLOGICHE";LT;"Laurea triennale (DM509)";www.psicologia.unito.it;
070319;"TECNICA DELLA RIABILITAZIONE PSICHIATRICA (ABILITANTE ALLA PROFESSIONE SANITARIA DI TECNICO DELLA RIABILITAZIONE PSICHIATRICA)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
091202;"SCIENZE E TECNICHE DELLO SPORT E DELL'ALLENAMENTO";LS;"Laurea specialistica";http://hal9000.cisi.unito.it/scienzemotorie/;
009208;"SCIENZE DELL'AMMINISTRAZIONE";LS;"Laurea specialistica";www.scipol.unito.it;
011301;"SCIENZE E TECNICHE NEUROPSICOLOGICHE";LT;"Laurea triennale (DM509)";www.psicologia.unito.it;
011701;"DISCIPLINE DELLA RICERCA PSICOLOGICO-SOCIALE";L;"Laurea triennale (DM270)";;
011504;"SCIENZE DELLA MENTE";LM;"Laurea Magistrale";http://www.psicologia.unito.it/do/home.pl/View?doc=/offerta_formativa/corsi_di_studi/magistrali/13-14/scienze_mente.html;
009504;"SCIENZE STATISTICHE, ECONOMICHE E MANAGERIALI";LM;"Laurea Magistrale";http://www.didattica-est.unito.it/do/home.pl/View?doc=/corsi_di_laurea_magistrale/Statistiche_Economiche_Manageriali.html;
012205;TRADUZIONE;LS;"Laurea specialistica";www.lingue.unito.it;
012306;"SCIENZE DEL TURISMO";LT;"Laurea triennale (DM509)";;
008221;"ASTROFISICA E FISICA COSMICA";LS;"Laurea specialistica";http://www.ph.unito.it/ccl/index.html;
056301;BIOTECNOLOGIE;LT;"Laurea triennale (DM509)";http://hal9000.cisi.unito.it/wf/FACOLTA/Scuola-Uni1/TELECOMUNI/index.htm;
010501;"MEDICINA VETERINARIA";LC5;"Laurea Ciclo Unico 5 anni";www.veter.unito.it;
008239;"SCIENZE GEOLOGICHE";LS;"Laurea specialistica";www.geologia.unito.it;
009324;"SCIENZE DELL'AMMINISTRAZIONE (ON LINE)";LT;"Laurea triennale (DM509)";;
008308;MATEMATICA;LT;"Laurea triennale (DM509)";www.dm.unito.it;
070321;"INFERMIERISTICA  (ABILITANTE ALLA PROFESSIONE SANITARIA DI INFERMIERE) - (SEDE DI ASTI)";LT;"Laurea triennale (DM509)";www.medicina.unito.it;
001306;"AGRICOLTURA BIOLOGICA";LT;"Laurea triennale (DM509)";;
008236;"GEOLOGIA APPLICATA ED AMBIENTALE";LS;"Laurea specialistica";www.geologia.unito.it;
